Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
250,10.0,10,car,1523.2178,79.38988,7.623841,-38.32197,1.761631,1.11391,0,0.0,11,-1,-1,-1,-1,-1,2,0
250,10.0,11,car,1500.8312,76.571266,7.347485,-38.93323,1.6167945,1.1338135,0,0.0,2,10,-1,-1,-1,-1,2,0
251,10.04,2,car,1562.6895,78.297844,8.23586,-39.17076,1.6808767,1.1145691,0,-6.944444444444445,3,11,-1,-1,-1,-1,2,0
251,10.04,3,car,1588.7506,78.50793,8.626105,-39.43959,1.6919959,1.1649293,2,0.0,-1,2,-1,-1,-1,-1,2,0
251,10.04,10,car,1523.8977,79.60185,7.6296716,-38.263786,1.768566,1.1513184,0,0.0,11,-1,-1,-1,-1,-1,2,0
251,10.04,11,car,1500.8569,76.89026,7.3418746,-38.83179,1.626425,1.1284851,0,0.0,2,10,-1,-1,-1,-1,2,0
251,10.04,12,car,1451.8152,79.31376,6.587355,-37.465267,1.7638533,1.2233337,0,0.0,-1,-1,-1,-1,-1,-1,1,0
252,10.08,2,car,1562.6816,78.21769,8.237554,-39.196514,1.6669308,1.1102479,0,0.0,3,11,-1,-1,-1,-1,2,0
252,10.08,3,car,1587.8113,77.969376,8.62488,-39.602825,1.6920022,1.1369568,2,0.0,-1,2,-1,-1,-1,-1,2,0
252,10.08,10,car,1523.9795,79.58389,7.6312337,-38.270454,1.7794727,1.1513916,0,0.0,11,-1,-1,-1,-1,-1,2,0
252,10.08,11,car,1500.8767,76.76692,7.3444815,-38.87136,1.6195916,1.1182922,0,0.0,2,10,-1,-1,-1,-1,2,0
252,10.08,12,car,1451.7783,79.022736,6.591301,-37.55418,1.7497276,1.2259705,0,0.0,-1,-1,-1,-1,-1,-1,1,0
253,10.12,2,car,1562.7095,78.27748,8.236622,-39.177586,1.6725502,1.1133546,0,0.0,3,11,-1,-1,-1,-1,2,0
253,10.12,3,car,1587.781,77.97967,8.6241665,-39.59907,1.690564,1.1553528,2,0.0,-1,2,-1,-1,-1,-1,2,0
