Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
350,14.0,8,car,1196.4208,870.3877,16.92178,104.40883,2.1488006,3.6678467,0,0.0,4,-1,-1,-1,-1,-1,2,0
351,14.04,4,bus,1062.5281,714.5307,16.86485,99.78914,2.233481,5.5346866,4,0.0,-1,8,-1,-1,-1,-1,2,0
351,14.04,8,car,1197.5576,870.1225,16.931955,104.40285,2.2034395,3.6531923,0,0.0,4,-1,-1,-1,-1,-1,2,0
352,14.08,4,bus,1058.742,713.2246,16.837845,99.73809,2.1299133,5.6141906,4,0.0,-1,8,-1,-1,-1,-1,2,0
352,14.08,8,car,1199.5027,867.60455,16.962269,104.34583,2.1132324,3.6758485,0,0.0,4,-1,-1,-1,-1,-1,2,0
353,14.12,4,bus,1055.8485,717.18463,16.778126,99.89204,2.3712983,5.605185,5,6.944444444444445,-1,-1,-1,-1,-1,-1,2,0
354,14.16,4,bus,1053.3391,719.3244,16.737001,99.974205,2.4145997,5.7355957,5,0.0,-1,-1,-1,-1,-1,-1,2,0
355,14.2,4,bus,1049.1953,735.30865,16.578955,100.566414,3.1830292,5.751947,7,13.88888888888889,-1,8,-1,-1,-1,-1,2,0
355,14.2,8,car,1205.8027,871.2706,16.986681,104.4287,2.3587434,3.7545717,0,0.0,4,-1,-1,-1,-1,-1,2,0
356,14.24,4,bus,1047.1256,717.14813,16.692738,99.890625,2.2787812,5.9134307,4,-20.833333333333336,-1,-1,-1,-1,-1,-1,2,0
357,14.28,4,bus,1043.4067,719.0639,16.641823,99.96424,2.3804963,5.9822755,4,0.0,-1,8,-1,-1,-1,-1,2,0
357,14.28,8,van,1211.2786,867.9231,17.049025,104.353065,2.2683105,3.6500366,0,0.0,4,-1,-1,-1,-1,-1,2,0
358,14.32,8,van,1212.8164,869.3642,17.051397,104.38573,2.3972046,3.7493408,3,20.833333333333336,-1,-1,-1,-1,-1,-1,2,0
359,14.36,4,bus,1035.773,718.2339,16.57323,99.93242,2.3289247,6.042615,4,0.0,-1,8,-1,-1,-1,-1,2,0
